beach_name,num_samples,samples_235,samples_1000,beach_id,Latitude,Longitude
South Shore,825,172,31,0,41.7689,-87.5636
Howard,793,49,6,1,42.0188,-87.6663
12th Street,824,119,26,2,41.8638,-87.6083
Juneway,789,52,5,3,42.0224,-87.6674
Calumet,890,205,54,4,41.7142,-87.5299
Foster,817,93,25,5,41.9785,-87.6515
Montrose,868,225,73,6,41.9655,-87.6385
63rd Street,850,239,80,7,41.7827,-87.5748
Osterman,820,99,21,8,41.9877,-87.6545
Ohio Street,832,104,15,9,41.8935,-87.6152
Leone,594,37,9,10,42.0131,-87.6635
North Avenue,804,55,14,11,41.9148,-87.6273
Oak Street,809,46,10,12,41.9032,-87.6235
Rainbow,846,210,55,13,41.758,-87.551
57th Street,826,116,30,14,41.7911,-87.5797
Rogers,792,44,4,15,42.0213,-87.6666
Hartigan,794,46,11,16,42.0027,-87.6564
Fargo,98,5,0,17,42.0161,-87.6647
North Shore,287,21,5,18,42.0027,-87.6564
Loyola,251,22,3,19,42.0131,-87.6635
Lane,287,33,7,20,41.9877,-87.6545
Montrose Dog,440,118,41,21,41.96869,-87.642617
Margaret T Burroughs,834,169,49,22,41.8393,-87.6072
Oakwood,603,51,12,23,41.8211,-87.5976
Columbia,286,32,3,24,42.0027,-87.6564
Humboldt,40,1,0,25,41.90643,-87.703717
Marion Mahony Griffin,728,51,6,26,42.0161,-87.6647
