beach_id,Beach,Latitude,Longitude
0,South Shore,41.7689,-87.5636
1,Howard,42.0188,-87.6663
2,12th Street,41.8638,-87.6083
3,Juneway,42.0224,-87.6674
4,Calumet,41.7142,-87.5299
5,Foster,41.9785,-87.6515
6,Montrose,41.9655,-87.6385
7,63rd Street,41.7827,-87.5748
8,Osterman,41.9877,-87.6545
9,Ohio Street,41.8935,-87.6152
10,Leone,42.0131,-87.6635
11,North Avenue,41.9148,-87.6273
12,Oak Street,41.9032,-87.6235
13,Rainbow,41.758,-87.551
14,57th Street,41.7911,-87.5797
15,Rogers,42.0213,-87.6666
16,Hartigan,42.0027,-87.6564
17,Fargo,42.0161,-87.6647
18,North Shore,42.0027,-87.6564
19,Loyola,42.0131,-87.6635
20,Lane,41.9877,-87.6545
21,Montrose Dog,41.96869,-87.642617
22,Margaret T Burroughs,41.8393,-87.6072
23,Oakwood,41.8211,-87.5976
24,Columbia,42.0027,-87.6564
25,Humboldt,41.90643,-87.703717
26,Marion Mahony Griffin,42.0161,-87.6647
